ANZPD,20200717,101.59,101.88,101.55,101.88,5298
ANZPE,20200717,101,101.298,100.79,100.79,6081
ANZPF,20200717,101.16,101.539,101.16,101.25,3995
ANZPG,20200717,103.92,103.92,103.49,103.89,7570
ANZPH,20200717,100.8,101,100.78,100.78,6747
AO1,20200717,0.007,0.007,0.007,0.007,10000
AOA,20200717,0.004,0.004,0.004,0.004,1295296
AOF,20200717,2.04,2.04,1.995,2,15906
AON,20200717,0.028,0.028,0.027,0.027,40000
AOP,20200717,0.35,0.35,0.345,0.345,625692
AOU,20200717,0.053,0.053,0.053,0.053,49486
APA,20200717,11.16,11.22,11.07,11.17,1110721
APC,20200717,0.077,0.077,0.075,0.075,364818
APCOB,20200717,0.015,0.015,0.015,0.015,0
APD,20200717,0.515,0.525,0.515,0.525,12645
APE,20200717,6.3,6.3,6.07,6.19,381365
APG,20200717,0.001,0.002,0.001,0.002,340000
APH,20200717,0.135,0.135,0.135,0.135,0
API,20200717,1.1,1.13,1.1,1.105,447325
APL,20200717,0.94,0.945,0.925,0.94,868980
APT,20200717,67.25,69.06,66.16,67.37,2700416
APV,20200717,0.145,0.15,0.145,0.15,183396
APW,20200717,1.25,1.25,1.25,1.25,0
APX,20200717,36.14,36.61,35.6,35.8,285653
APZ,20200717,1.02,1.02,1.02,1.02,25765
AQC,20200717,0.115,0.115,0.115,0.115,0
AQD,20200717,0.018,0.019,0.017,0.019,6704702
AQDOC,20200717,0.005,0.006,0.005,0.006,1167507
AQG,20200717,9.6,9.81,9.49,9.81,319480
AQI,20200717,0.063,0.063,0.063,0.063,114400
AQR,20200717,3.5,3.57,3.49,3.51,67275
AQS,20200717,0.014,0.014,0.014,0.014,0
AQX,20200717,0.038,0.04,0.038,0.038,10993929
AQZ,20200717,2.96,2.96,2.87,2.89,59928
AR9,20200717,0.17,0.185,0.17,0.17,1679585
ARA,20200717,0.45,0.45,0.45,0.45,39589
ARB,20200717,19.06,19.33,18.86,19.24,149474
ARC,20200717,0.29,0.29,0.29,0.29,1351
ARCO,20200717,0.12,0.12,0.12,0.12,0
ARD,20200717,0.039,0.041,0.038,0.038,4311533
ARDOA,20200717,0.019,0.019,0.019,0.019,0
ARDOB,20200717,0.012,0.012,0.012,0.012,417885
ARE,20200717,0.008,0.008,0.007,0.007,672100
ARF,20200717,2.22,2.27,2.18,2.24,1114495
ARG,20200717,7.35,7.4,7.28,7.37,186483
ARL,20200717,0.35,0.35,0.335,0.345,215545
ARM,20200717,0.022,0.022,0.022,0.022,0
ARN,20200717,0.1,0.105,0.097,0.105,208048
ARO,20200717,0.002,0.002,0.002,0.002,0
ARR,20200717,0.021,0.021,0.021,0.021,299796
ARS,20200717,0.048,0.048,0.047,0.048,2023635
ARU,20200717,0.058,0.058,0.057,0.058,1258212
ARV,20200717,0.085,0.087,0.075,0.081,10893984
AS1,20200717,0.125,0.125,0.125,0.125,0
ASB,20200717,3.33,3.35,3.23,3.25,1363778
ASG,20200717,1.22,1.22,1.22,1.22,1900
ASH,20200717,0.27,0.27,0.27,0.27,0
ASIA,20200717,9.02,9.11,9,9.05,68917
ASN,20200717,0.023,0.023,0.022,0.023,1292088
ASP,20200717,0.008,0.008,0.008,0.008,0
ASQ,20200717,0.04,0.04,0.04,0.04,0
AST,20200717,1.72,1.745,1.72,1.74,8440295
ASW,20200717,0.7,0.7,0.7,0.7,0
ASX,20200717,84.28,84.65,83.23,84.04,490029
AT1,20200717,0.38,0.41,0.38,0.41,6523193
ATC,20200717,0.04,0.04,0.039,0.039,517364
ATEC,20200717,17.54,17.7,17.32,17.5,20362
ATH,20200717,0.038,0.038,0.036,0.037,3241348
ATL,20200717,0.265,0.265,0.24,0.25,122468
ATM,20200717,0.995,0.995,0.995,0.995,0
ATP,20200717,0.007,0.011,0.007,0.01,4096375
ATR,20200717,0.21,0.21,0.21,0.21,0
ATS,20200717,0.028,0.029,0.027,0.029,3588384
ATU,20200717,0.26,0.26,0.255,0.255,36233
ATUO,20200717,0.07,0.07,0.07,0.07,0
ATX,20200717,0.16,0.16,0.14,0.16,658624
AU1,20200717,0.036,0.036,0.036,0.036,0
AU1OA,20200717,0.009,0.009,0.009,0.009,0
AU8,20200717,0.05,0.051,0.05,0.05,81356
AUB,20200717,14,14.8,14,14.5,143542
AUC,20200717,0.035,0.036,0.034,0.034,3336604
AUDS,20200717,9.3,9.3,9.3,9.3,2429
AUH,20200717,0.003,0.003,0.003,0.003,0
AUI,20200717,8.25,8.25,8.18,8.24,8388
AUL,20200717,0.225,0.225,0.225,0.225,0
AULOD,20200717,0.01,0.01,0.01,0.01,0
AUMF,20200717,27.24,27.24,27.19,27.19,5069
AUP,20200717,2.99,2.99,2.99,2.99,0
AUQ,20200717,0.014,0.014,0.014,0.014,371429
AUR,20200717,0.058,0.08,0.058,0.077,7235727
AUROC,20200717,0.01,0.012,0.01,0.01,4694949
AUST,20200717,15.44,15.44,15.44,15.44,55
AUT,20200717,0.165,0.17,0.15,0.155,7245324
AUZ,20200717,0.018,0.018,0.015,0.016,57663578
AV1,20200717,0.084,0.084,0.076,0.078,1680654
AV1O,20200717,0.05,0.05,0.05,0.05,0
AVA,20200717,0.16,0.16,0.16,0.16,19406
AVC,20200717,0.365,0.37,0.35,0.35,235453
AVE,20200717,0.007,0.007,0.007,0.007,0
AVG,20200717,0.405,0.405,0.4,0.4,14161
AVH,20200717,6.7,6.79,6.34,6.38,745949
AVJ,20200717,0.51,0.535,0.51,0.535,123064
AVL,20200717,0.011,0.011,0.01,0.01,1969176
AVN,20200717,2.15,2.17,2.13,2.17,474489
AVQ,20200717,0.025,0.025,0.025,0.025,0
AVR,20200717,4.79,4.79,4.3,4.3,19261
AVRO,20200717,1.18,1.18,1.18,1.18,0
AVW,20200717,0.006,0.006,0.006,0.006,2831213
AVZ,20200717,0.056,0.059,0.056,0.057,4445439
AWC,20200717,1.775,1.825,1.765,1.8,37246747
AWN,20200717,0.38,0.38,0.38,0.38,8000
AWV,20200717,0.029,0.029,0.029,0.029,562044
AX1,20200717,1.3,1.31,1.25,1.27,2155211
AX8,20200717,0.045,0.045,0.042,0.042,285350
AXE,20200717,0.415,0.425,0.39,0.41,1249908
AXI,20200717,0.04,0.04,0.04,0.04,0
AXT,20200717,0.014,0.014,0.014,0.014,0
AYF,20200717,5.62,5.62,5.62,5.62,5000
AYI,20200717,0.001,0.001,0.001,0.001,0
AYM,20200717,0.003,0.003,0.003,0.003,0
AYR,20200717,0.029,0.03,0.026,0.026,2271571
